,county,year,population,bachelor_degree_pct,high_school_graduate_or_higher_pct
537,Washington,2019,87624,0.19,0.89
538,Washington,2020,88935,0.19,0.9
539,Washington,2021,91126,0.19,0.91
543,Wayne,2019,12351,0.06,0.8
544,Wayne,2020,12552,0.06,0.81
545,Wayne,2021,12400,0.08,0.83
549,Weakley,2019,21492,0.13,0.85
550,Weakley,2020,21552,0.12,0.87
551,Weakley,2021,21386,0.13,0.87
555,White,2019,18790,0.08,0.83
556,White,2020,19216,0.08,0.81
557,White,2021,19206,0.08,0.82
561,Williamson,2019,146345,0.38,0.95
562,Williamson,2020,151799,0.38,0.95
563,Williamson,2021,158362,0.39,0.96
567,Wilson,2019,93870,0.22,0.92
568,Wilson,2020,96648,0.23,0.92
569,Wilson,2021,99352,0.25,0.93
