Educational Attainment,Location.1,Year,First Values
Population 25 years and over,Hickman County,2019,"17,463"
Population 25 years and over,Hickman County,2020,"17,684"
Population 25 years and over,Hickman County,2021,"17,810"
Population 25 years and over,Houston County,2016,"5,727"
Population 25 years and over,Houston County,2017,"5,714"
Population 25 years and over,Houston County,2018,"5,752"
Population 25 years and over,Houston County,2019,"5,754"
Population 25 years and over,Houston County,2020,"5,807"
Population 25 years and over,Houston County,2021,"5,830"
Population 25 years and over,Humphreys County,2016,"12,762"
Population 25 years and over,Humphreys County,2017,"12,890"
Population 25 years and over,Humphreys County,2018,"13,036"
Population 25 years and over,Humphreys County,2019,"13,041"
Population 25 years and over,Humphreys County,2020,"13,030"
Population 25 years and over,Humphreys County,2021,"13,342"
Population 25 years and over,Jackson County,2016,"8,429"
Population 25 years and over,Jackson County,2017,"8,551"
Population 25 years and over,Jackson County,2018,"8,574"
Population 25 years and over,Jackson County,2019,"8,699"
Population 25 years and over,Jackson County,2020,"8,794"
Population 25 years and over,Jackson County,2021,"8,724"
Population 25 years and over,Jefferson County,2016,"36,897"
Population 25 years and over,Jefferson County,2017,"37,176"
Population 25 years and over,Jefferson County,2018,"37,486"
Population 25 years and over,Jefferson County,2019,"37,994"
Population 25 years and over,Jefferson County,2020,"38,691"
Population 25 years and over,Jefferson County,2021,"38,818"
Population 25 years and over,Johnson County,2016,"13,422"
Population 25 years and over,Johnson County,2017,"13,489"
Population 25 years and over,Johnson County,2018,"13,568"
Population 25 years and over,Johnson County,2019,"13,494"
Population 25 years and over,Johnson County,2020,"13,516"
Population 25 years and over,Johnson County,2021,"13,651"
Population 25 years and over,Knox County,2016,"297,488"
Population 25 years and over,Knox County,2017,"300,733"
Population 25 years and over,Knox County,2018,"304,091"
Population 25 years and over,Knox County,2019,"308,366"
Population 25 years and over,Knox County,2020,"312,749"
Population 25 years and over,Knox County,2021,"319,008"
Population 25 years and over,Lake County,2016,"5,685"
Population 25 years and over,Lake County,2017,"5,666"
Population 25 years and over,Lake County,2018,"5,661"
Population 25 years and over,Lake County,2019,"5,638"
Population 25 years and over,Lake County,2020,"5,630"
Population 25 years and over,Lake County,2021,"5,443"
Population 25 years and over,Lauderdale County,2016,"18,415"
Population 25 years and over,Lauderdale County,2017,"17,960"
Population 25 years and over,Lauderdale County,2018,"17,932"
Population 25 years and over,Lauderdale County,2019,"17,752"
Population 25 years and over,Lauderdale County,2020,"17,642"
Population 25 years and over,Lauderdale County,2021,"17,399"
Population 25 years and over,Lawrence County,2016,"28,517"
Population 25 years and over,Lawrence County,2017,"28,675"
Population 25 years and over,Lawrence County,2018,"28,888"
Population 25 years and over,Lawrence County,2019,"29,194"
Population 25 years and over,Lawrence County,2020,"29,516"
Population 25 years and over,Lawrence County,2021,"29,583"
Population 25 years and over,Lewis County,2016,"8,397"
Population 25 years and over,Lewis County,2017,"8,530"
Population 25 years and over,Lewis County,2018,"8,440"
Population 25 years and over,Lewis County,2019,"8,471"
Population 25 years and over,Lewis County,2020,"8,565"
Population 25 years and over,Lewis County,2021,"8,641"
Population 25 years and over,Lincoln County,2016,"23,553"
Population 25 years and over,Lincoln County,2017,"23,620"
Population 25 years and over,Lincoln County,2018,"23,743"
Population 25 years and over,Lincoln County,2019,"23,775"
Population 25 years and over,Lincoln County,2020,"23,981"
Population 25 years and over,Lincoln County,2021,"24,541"
Population 25 years and over,Loudon County,2016,"37,123"
Population 25 years and over,Loudon County,2017,"37,341"
Population 25 years and over,Loudon County,2018,"37,764"
Population 25 years and over,Loudon County,2019,"38,291"
Population 25 years and over,Loudon County,2020,"39,118"
Population 25 years and over,Loudon County,2021,"40,184"
Population 25 years and over,Macon County,2016,"15,384"
Population 25 years and over,Macon County,2017,"15,655"
Population 25 years and over,Macon County,2018,"15,821"
Population 25 years and over,Macon County,2019,"16,032"
Population 25 years and over,Macon County,2020,"16,141"
Population 25 years and over,Macon County,2021,"16,610"
Population 25 years and over,Madison County,2016,"64,505"
Population 25 years and over,Madison County,2017,"64,697"
Population 25 years and over,Madison County,2018,"64,890"
Population 25 years and over,Madison County,2019,"65,067"
Population 25 years and over,Madison County,2020,"65,529"
Population 25 years and over,Madison County,2021,"65,820"
Population 25 years and over,Marion County,2016,"20,200"
Population 25 years and over,Marion County,2017,"20,220"
Population 25 years and over,Marion County,2018,"20,293"
Population 25 years and over,Marion County,2019,"20,348"
Population 25 years and over,Marion County,2020,"20,482"
Population 25 years and over,Marion County,2021,"20,505"
Population 25 years and over,Marshall County,2016,"21,409"
Population 25 years and over,Marshall County,2017,"21,771"
Population 25 years and over,Marshall County,2018,"22,158"
Population 25 years and over,Marshall County,2019,"22,727"
Population 25 years and over,Marshall County,2020,"23,303"
Population 25 years and over,Marshall County,2021,"23,275"
Population 25 years and over,Maury County,2016,"58,817"
Population 25 years and over,Maury County,2017,"60,140"
Population 25 years and over,Maury County,2018,"61,854"
Population 25 years and over,Maury County,2019,"63,595"
Population 25 years and over,Maury County,2020,"65,657"
Population 25 years and over,Maury County,2021,"68,730"
Population 25 years and over,McMinn County,2016,"36,650"
Population 25 years and over,McMinn County,2017,"36,911"
Population 25 years and over,McMinn County,2018,"37,212"
Population 25 years and over,McMinn County,2019,"37,514"
Population 25 years and over,McMinn County,2020,"37,863"
Population 25 years and over,McMinn County,2021,"37,439"
Population 25 years and over,McNairy County,2016,"18,163"
Population 25 years and over,McNairy County,2017,"18,111"
Population 25 years and over,McNairy County,2018,"18,151"
Population 25 years and over,McNairy County,2019,"18,185"
Population 25 years and over,McNairy County,2020,"18,304"
Population 25 years and over,McNairy County,2021,"18,351"
Population 25 years and over,Meigs County,2016,"8,500"
Population 25 years and over,Meigs County,2017,"8,549"
Population 25 years and over,Meigs County,2018,"8,589"
Population 25 years and over,Meigs County,2019,"8,808"
Population 25 years and over,Meigs County,2020,"8,936"
Population 25 years and over,Meigs County,2021,"9,250"
Population 25 years and over,Monroe County,2016,"31,986"
Population 25 years and over,Monroe County,2017,"32,041"
Population 25 years and over,Monroe County,2018,"32,369"
Population 25 years and over,Monroe County,2019,"32,568"
Population 25 years and over,Monroe County,2020,"33,139"
Population 25 years and over,Monroe County,2021,"32,985"
Population 25 years and over,Montgomery County,2016,"115,734"
Population 25 years and over,Montgomery County,2017,"117,962"
Population 25 years and over,Montgomery County,2018,"121,101"
Population 25 years and over,Montgomery County,2019,"123,893"
Population 25 years and over,Montgomery County,2020,"127,366"
Population 25 years and over,Montgomery County,2021,"134,344"
Population 25 years and over,Moore County,2016,"4,645"
Population 25 years and over,Moore County,2017,"4,566"
Population 25 years and over,Moore County,2018,"4,553"
Population 25 years and over,Moore County,2019,"4,590"
Population 25 years and over,Moore County,2020,"4,673"
Population 25 years and over,Moore County,2021,"4,716"
Population 25 years and over,Morgan County,2016,"15,533"
Population 25 years and over,Morgan County,2017,"15,609"
Population 25 years and over,Morgan County,2018,"15,651"
Population 25 years and over,Morgan County,2019,"15,570"
Population 25 years and over,Morgan County,2020,"15,626"
Population 25 years and over,Morgan County,2021,"15,389"
Population 25 years and over,Obion County,2016,"21,585"
Population 25 years and over,Obion County,2017,"21,400"
Population 25 years and over,Obion County,2018,"21,372"
Population 25 years and over,Obion County,2019,"21,277"
Population 25 years and over,Obion County,2020,"21,387"
Population 25 years and over,Obion County,2021,"21,643"
Population 25 years and over,Overton County,2016,"15,393"
Population 25 years and over,Overton County,2017,"15,314"
Population 25 years and over,Overton County,2018,"15,396"
Population 25 years and over,Overton County,2019,"15,511"
Population 25 years and over,Overton County,2020,"15,680"
Population 25 years and over,Overton County,2021,"15,797"
Population 25 years and over,Perry County,2016,"5,545"
Population 25 years and over,Perry County,2017,"5,578"
Population 25 years and over,Perry County,2018,"5,571"
Population 25 years and over,Perry County,2019,"5,571"
Population 25 years and over,Perry County,2020,"5,551"
Population 25 years and over,Perry County,2021,"5,775"
Population 25 years and over,Pickett County,2016,"3,868"
Population 25 years and over,Pickett County,2017,"3,950"
Population 25 years and over,Pickett County,2018,"3,822"
Population 25 years and over,Pickett County,2019,"3,888"
Population 25 years and over,Pickett County,2020,"3,854"
Population 25 years and over,Pickett County,2021,"3,797"
Population 25 years and over,Polk County,2016,"12,014"
Population 25 years and over,Polk County,2017,"12,097"
Population 25 years and over,Polk County,2018,"12,198"
Population 25 years and over,Polk County,2019,"12,288"
Population 25 years and over,Polk County,2020,"12,433"
