district_number,district_name,school_year,school_name,school_year,students_in_school_suspension,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent_iss,percent_suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
792,Shelby County,2020,Crosstown High School,2020,0,1,0,1,1,292,0,0.3,0,0.3,0.3
792,Shelby County,2020,Memphis Business Academy Hickory Hill Middle School,2020,0,2,0,0,0,65,0,3.1,0,0,0
792,Shelby County,2020,Memphis Business Academy Hickory Hill Elementary School,2020,1,1,0,0,0,164,0.6,0.6,0,0,0
792,Shelby County,2020,Perea Elementary School,2020,0,9,0,0,0,147,0,6.1,0,0,0
792,Shelby County,2020,Believe Memphis Academy Charter School,2020,0,52,0,0,0,235,0,22.1,0,0,0
792,Shelby County,2020,Freedom Preparatory Academy Charter Schools,2020,0,1,0,1,0,277,0,0.4,0,0.4,0
792,Shelby County,2020,Compass Community School Hickory Hill Campus,2020,0,4,0,0,0,229,0,1.7,0,0,0
792,Shelby County,2020,Compass Community School Midtown Campus,2020,0,21,2,0,4,271,0,7.7,0.7,0,1.5
792,Shelby County,2020,Compass Community School Orange Mound Campus,2020,0,7,0,0,0,174,0,4,0,0,0
792,Shelby County,2020,Memphis Merit Academy,2020,0,12,0,0,0,122,0,9.8,0,0,0
792,Shelby County,2020,,2020,3791,8410,391,719,503,113656,3.3,7.4,0.3,0.6,0.4
793,Arlington,2020,Arlington High,2020,130,32,1,16,9,2140,6.1,1.5,0,0.7,0.4
793,Arlington,2020,Arlington Elementary,2020,0,1,0,0,0,865,0,0.1,0,0,0
793,Arlington,2020,Arlington Middle,2020,48,6,0,2,0,1002,4.8,0.6,0,0.2,0
793,Arlington,2020,Donelson Elementary,2020,1,2,0,0,0,906,0.1,0.2,0,0,0
793,Arlington,2020,,2020,179,41,1,18,9,4911,3.6,0.8,0,0.4,0.2
794,Bartlett,2020,Altruria Elementary,2020,1,4,0,0,0,835,0.1,0.5,0,0,0
794,Bartlett,2020,Appling Middle School,2020,69,14,0,0,0,696,9.9,2,0,0,0
