district_number,district_name,school_number,school_name,alternative_school,school_year,grade_level,students_iss,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent of in school suspensions,percent suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
52,Maryville,,,,2020,12,0,21,0,1,1,424,0,5,0,0.2,0.2
52,Maryville,,,,2020,K,0,4,0,0,1,422,0,0.9,0,0,0.2
60,Bradley County,10,Black Fox Elementary School,No,2020,01,0,0,0,0,0,93,0,0,0,0,0
60,Bradley County,10,Black Fox Elementary School,No,2020,02,0,4,0,0,0,102,0,3.9,0,0,0
60,Bradley County,10,Black Fox Elementary School,No,2020,03,0,0,0,0,0,96,0,0,0,0,0
60,Bradley County,10,Black Fox Elementary School,No,2020,04,0,0,0,0,0,89,0,0,0,0,0
60,Bradley County,10,Black Fox Elementary School,No,2020,05,0,0,0,0,0,94,0,0,0,0,0
60,Bradley County,10,Black Fox Elementary School,No,2020,K,0,0,0,0,0,87,0,0,0,0,0
60,Bradley County,18,Ocoee Middle School,No,2020,06,27,8,0,1,0,399,6.8,2,0,0.3,0
60,Bradley County,18,Ocoee Middle School,No,2020,07,37,8,0,0,0,405,9.1,2,0,0,0
60,Bradley County,18,Ocoee Middle School,No,2020,08,35,17,0,1,7,444,7.9,3.8,0,0.2,1.6
60,Bradley County,20,Bradley Central High School,No,2020,09,49,18,0,1,3,461,10.6,3.9,0,0.2,0.7
60,Bradley County,20,Bradley Central High School,No,2020,10,75,15,0,3,11,469,16,3.2,0,0.6,2.3
60,Bradley County,20,Bradley Central High School,No,2020,11,25,10,0,0,5,453,5.5,2.2,0,0,1.1
60,Bradley County,20,Bradley Central High School,No,2020,12,22,7,0,0,2,392,5.6,1.8,0,0,0.5
60,Bradley County,30,Charleston Elementary School,No,2020,01,0,0,0,0,0,61,0,0,0,0,0
60,Bradley County,30,Charleston Elementary School,No,2020,02,0,1,0,0,0,60,0,1.7,0,0,0
60,Bradley County,30,Charleston Elementary School,No,2020,03,0,0,0,0,0,50,0,0,0,0,0
60,Bradley County,30,Charleston Elementary School,No,2020,04,0,0,0,0,0,48,0,0,0,0,0
60,Bradley County,30,Charleston Elementary School,No,2020,05,0,0,0,0,0,62,0,0,0,0,0
60,Bradley County,30,Charleston Elementary School,No,2020,K,0,0,0,0,0,57,0,0,0,0,0
60,Bradley County,40,Hopewell Elementary School,No,2020,01,0,0,0,0,0,77,0,0,0,0,0
60,Bradley County,40,Hopewell Elementary School,No,2020,02,0,0,0,0,0,68,0,0,0,0,0
60,Bradley County,40,Hopewell Elementary School,No,2020,03,0,0,0,0,0,65,0,0,0,0,0
60,Bradley County,40,Hopewell Elementary School,No,2020,04,0,0,0,0,0,81,0,0,0,0,0
60,Bradley County,40,Hopewell Elementary School,No,2020,05,0,1,0,0,0,61,0,1.6,0,0,0
60,Bradley County,40,Hopewell Elementary School,No,2020,K,0,0,0,0,0,75,0,0,0,0,0
60,Bradley County,50,Michigan Avenue Elementary School,No,2020,01,1,1,0,0,0,97,1,1,0,0,0
60,Bradley County,50,Michigan Avenue Elementary School,No,2020,02,0,1,0,0,0,75,0,1.3,0,0,0
60,Bradley County,50,Michigan Avenue Elementary School,No,2020,03,0,0,0,0,0,90,0,0,0,0,0
60,Bradley County,50,Michigan Avenue Elementary School,No,2020,04,0,0,0,0,0,82,0,0,0,0,0
60,Bradley County,50,Michigan Avenue Elementary School,No,2020,05,0,1,0,0,0,86,0,1.2,0,0,0
