ACT Code,County,County (copy),District,HighSchool,Year ,CGR %
430494,CLAIBORNE,CLAIBORNE,CLAIBORNE COUNTY,CUMBERLAND GAP HIGH SCHOOL,2020,0.571428571
430494,CLAIBORNE,CLAIBORNE,CLAIBORNE COUNTY,CUMBERLAND GAP HIGH SCHOOL,2021,0.491666667
430245,CLAY,CLAY,CLAY COUNTY,CLAY COUNTY HIGH SCHOOL,2017,0.672413793
430245,CLAY,CLAY,CLAY COUNTY,CLAY COUNTY HIGH SCHOOL,2018,0.629032258
430245,CLAY,CLAY,CLAY COUNTY,CLAY COUNTY HIGH SCHOOL,2019,0.620253165
430245,CLAY,CLAY,CLAY COUNTY,CLAY COUNTY HIGH SCHOOL,2020,0.603174603
430245,CLAY,CLAY,CLAY COUNTY,CLAY COUNTY HIGH SCHOOL,2021,0.479452055
431775,COCKE,COCKE,COCKE COUNTY,COCKE COUNTY HIGH,2017,0.48046875
431775,COCKE,COCKE,COCKE COUNTY,COCKE COUNTY HIGH,2018,0.515151515
431775,COCKE,COCKE,COCKE COUNTY,COCKE COUNTY HIGH,2019,0.47826087
431775,COCKE,COCKE,COCKE COUNTY,COCKE COUNTY HIGH,2020,0.405405405
431775,COCKE,COCKE,COCKE COUNTY,COCKE COUNTY HIGH,2021,0.370967742
430470,COCKE,COCKE,COCKE COUNTY,COSBY HIGH SCHOOL,2017,0.523255814
430470,COCKE,COCKE,COCKE COUNTY,COSBY HIGH SCHOOL,2018,0.436781609
430470,COCKE,COCKE,COCKE COUNTY,COSBY HIGH SCHOOL,2019,0.53164557
430470,COCKE,COCKE,COCKE COUNTY,COSBY HIGH SCHOOL,2020,0.392857143
430470,COCKE,COCKE,COCKE COUNTY,COSBY HIGH SCHOOL,2021,0.449275362
431275,COFFEE,COFFEE,COFFEE COUNTY,COFFEE COUNTY CENTRAL HIGH SCHOOL,2017,0.561904762
431275,COFFEE,COFFEE,COFFEE COUNTY,COFFEE COUNTY CENTRAL HIGH SCHOOL,2018,0.489583333
431275,COFFEE,COFFEE,COFFEE COUNTY,COFFEE COUNTY CENTRAL HIGH SCHOOL,2019,0.531746032
431275,COFFEE,COFFEE,COFFEE COUNTY,COFFEE COUNTY CENTRAL HIGH SCHOOL,2020,0.458213256
431275,COFFEE,COFFEE,COFFEE COUNTY,COFFEE COUNTY CENTRAL HIGH SCHOOL,2021,0.478510029
432315,COFFEE,COFFEE,TULLAHOMA,TULLAHOMA HIGH SCHOOL,2017,0.619266055
432315,COFFEE,COFFEE,TULLAHOMA,TULLAHOMA HIGH SCHOOL,2018,0.659292035
432315,COFFEE,COFFEE,TULLAHOMA,TULLAHOMA HIGH SCHOOL,2019,0.632743363
